time,S,label
19.0,0.6723235667095787,Talk-Show
20.0,0.6692377442576704,Talk-Show
21.0,0.6662212186879318,Talk-Show
22.0,0.6605592819852014,Talk-Show
23.0,0.6579969884166013,Talk-Show
24.0,0.6540602542978692,Talk-Show
25.0,0.6502831979689114,Talk-Show
26.0,0.6467908070023759,Talk-Show
27.0,0.6428324789301458,Talk-Show
28.0,0.6402404124828468,Talk-Show
29.0,0.6363305473684476,Talk-Show
30.0,0.6330163257675704,Talk-Show
31.0,0.6317799657563056,Talk-Show
32.0,0.6288951257300209,Talk-Show
33.0,0.6255588120656705,Talk-Show
34.0,0.6255588120656705,Talk-Show
35.0,0.6255588120656705,Talk-Show
36.0,0.6206136831165344,Talk-Show
37.0,0.6206136831165344,Talk-Show
38.0,0.6206136831165344,Talk-Show
39.0,0.6168750464712537,Talk-Show
40.0,0.6168750464712537,Talk-Show
41.0,0.6168750464712537,Talk-Show
42.0,0.6168750464712537,Talk-Show
43.0,0.6168750464712537,Talk-Show
44.0,0.6052358946510413,Talk-Show
45.0,0.6052358946510413,Talk-Show
46.0,0.5810264588649999,Talk-Show
47.0,0.5810264588649999,Talk-Show
0.0,1.0,High
1.0,0.8810490289716649,High
2.0,0.8234037562378974,High
3.0,0.7833263907568828,High
4.0,0.7560910023094832,High
5.0,0.735287831453226,High
6.0,0.7195655383662061,High
7.0,0.7073518745623041,High
8.0,0.6983855243538423,High
9.0,0.6903602665104733,High
10.0,0.6832572325060129,High
11.0,0.6777713352366617,High
12.0,0.6718884789039227,High
13.0,0.6675560933217458,High
14.0,0.6629537009516173,High
15.0,0.6582925878567711,High
16.0,0.653598162311746,High
17.0,0.6491029892559567,High
18.0,0.6452651052577852,High
19.0,0.6425020517097222,High
20.0,0.6396013652460208,High
21.0,0.6363722202357631,High
22.0,0.6343559914191748,High
23.0,0.631565159956706,High
24.0,0.6290956969656734,High
25.0,0.6260920570332111,High
26.0,0.6224562146578732,High
27.0,0.6184990867833796,High
28.0,0.6150510082507892,High
29.0,0.6136403408006728,High
30.0,0.6095459932390335,High
31.0,0.60674991070124,High
32.0,0.6049223507292485,High
33.0,0.6022338069482295,High
34.0,0.6007486434292445,High
35.0,0.6007486434292445,High
36.0,0.5998201292972053,High
37.0,0.5977517840237668,High
38.0,0.5965933503337985,High
39.0,0.5953048117801616,High
40.0,0.5953048117801616,High
41.0,0.5953048117801616,High
42.0,0.5909114183352894,High
43.0,0.5909114183352894,High
44.0,0.5839183837987773,High
45.0,0.5791321675381316,High
46.0,0.5715120074389455,High
47.0,0.5564722177694996,High
0.0,1.0,Low
1.0,0.8563789152024444,Low
2.0,0.7962101018466015,Low
3.0,0.7611027986072328,Low
4.0,0.736684578874773,Low
5.0,0.7215209643631121,Low
6.0,0.708372725097981,Low
7.0,0.6991558029873836,Low
8.0,0.6904638117241795,Low
9.0,0.6827235402132011,Low
10.0,0.6759041303633564,Low
11.0,0.6700933796192945,Low
12.0,0.6643172658212162,Low
13.0,0.6592044392102566,Low
14.0,0.6553873897649156,Low
15.0,0.6509369693091135,Low
16.0,0.6466047634810863,Low
17.0,0.6426397342710606,Low
18.0,0.6398186643225485,Low
19.0,0.6356426326922793,Low
20.0,0.6327335130918577,Low
21.0,0.6287425526939066,Low
22.0,0.6246147293100609,Low
23.0,0.6231255252551664,Low
24.0,0.6192835181630342,Low
25.0,0.6135367422543186,Low
26.0,0.6070913837814118,Low
27.0,0.6033099538711085,Low
28.0,0.6006488513650609,Low
29.0,0.5980892681916303,Low
30.0,0.5962129097031862,Low
31.0,0.592567939949542,Low
32.0,0.5879430194426185,Low
33.0,0.5840834372580942,Low
34.0,0.5791155343895562,Low
35.0,0.5759595914228559,Low
36.0,0.5697281893518201,Low
37.0,0.5666651345703587,Low
38.0,0.5654821175879576,Low
39.0,0.5600185222489438,Low
40.0,0.5536365447874176,Low
41.0,0.5498703097888639,Low
42.0,0.5455406223102115,Low
43.0,0.5380674631004826,Low
44.0,0.5380674631004826,Low
45.0,0.5380674631004826,Low
46.0,0.5380674631004826,Low
47.0,0.5081748262615671,Low
0.0,1.0,Medium
1.0,0.8333077277615609,Medium
2.0,0.7608583617041339,Medium
3.0,0.7171922195360726,Medium
4.0,0.6872483939038853,Medium
5.0,0.6645209361305262,Medium
6.0,0.6496638610525126,Medium
7.0,0.637416868645378,Medium
8.0,0.6283501631861989,Medium
9.0,0.6207663249897266,Medium
10.0,0.613371070942897,Medium
11.0,0.6072868364262415,Medium
12.0,0.6021939792859712,Medium
13.0,0.5982857004800101,Medium
14.0,0.5949210628274668,Medium
15.0,0.5901767180832038,Medium
16.0,0.5860213141018877,Medium
17.0,0.5833426378271646,Medium
18.0,0.5803767173205328,Medium
19.0,0.5776660839754962,Medium
20.0,0.5739490164564961,Medium
21.0,0.5707811160409891,Medium
22.0,0.5666629261705635,Medium
23.0,0.5637162789544764,Medium
24.0,0.5614871724032504,Medium
25.0,0.5584654703991234,Medium
26.0,0.5551538153185896,Medium
27.0,0.552495987357759,Medium
28.0,0.5510353238088953,Medium
29.0,0.5486290560193369,Medium
30.0,0.5455616411693884,Medium
31.0,0.5431540434590205,Medium
32.0,0.5415596578128591,Medium
33.0,0.5398220332423362,Medium
34.0,0.5385592916441089,Medium
35.0,0.5378634786058091,Medium
36.0,0.5340270771892199,Medium
37.0,0.5331643517010304,Medium
38.0,0.5331643517010304,Medium
39.0,0.5299395673157415,Medium
40.0,0.5262679305906901,Medium
41.0,0.523498099377055,Medium
42.0,0.5218362006488737,Medium
43.0,0.519867007438878,Medium
44.0,0.519867007438878,Medium
45.0,0.5136781144931774,Medium
46.0,0.5136781144931774,Medium
47.0,0.5136781144931774,Medium
0.0,1.0,1970
1.0,0.7127976190476188,1970
2.0,0.6008184523809523,1970
3.0,0.5271577380952381,1970
4.0,0.47693452380952367,1970
5.0,0.4356398809523808,1970
6.0,0.40625,1970
7.0,0.38504464285714274,1970
8.0,0.3653273809523808,1970
9.0,0.3508184523809524,1970
10.0,0.3381696428571428,1970
11.0,0.3277529761904763,1970
12.0,0.31733630952380953,1970
13.0,0.30729166666666646,1970
14.0,0.3013392857142856,1970
15.0,0.29650297619047616,1970
16.0,0.29203869047619035,1970
17.0,0.28943452380952367,1970
18.0,0.287202380952381,1970
19.0,0.2853422619047618,1970
20.0,0.28311011904761907,1970
21.0,0.28087797619047616,1970
22.0,0.2782738095238096,1970
23.0,0.27752976190476175,1970
24.0,0.2760416666666666,1970
25.0,0.27529761904761896,1970
26.0,0.2712053571428571,1970
27.0,0.2704613095238094,1970
28.0,0.2682291666666667,1970
30.0,0.26674107142857134,1970
31.0,0.26525297619047616,1970
32.0,0.2637648809523809,1970
33.0,0.26227678571428575,1970
35.0,0.2615327380952381,1970
36.0,0.25967261904761896,1970
39.0,0.25855654761904756,1970
40.0,0.25669642857142844,1970
41.0,0.25558035714285704,1970
42.0,0.2544642857142856,1970
43.0,0.25409226190476186,1970
44.0,0.2529761904761903,1970
45.0,0.251860119047619,1970
46.0,0.25111607142857145,1970
47.0,0.24887396364795925,1970
0.0,1.0,1980
1.0,0.7993019197207679,1980
2.0,0.7145056975669843,1980
3.0,0.6668719843958519,1980
4.0,0.6317626527050612,1980
5.0,0.6063032542860076,1980
6.0,0.5860794579611952,1980
7.0,0.5689354275741709,1980
8.0,0.5560004106354578,1980
9.0,0.5452212298531972,1980
10.0,0.535981932039831,1980
11.0,0.5288984703829176,1980
12.0,0.5221229853197825,1980
13.0,0.515244841392054,1980
14.0,0.5104198747561852,1980
15.0,0.5054922492557228,1980
16.0,0.5023098244533414,1980
17.0,0.49953803510933137,1980
18.0,0.49686890462991445,1980
19.0,0.4950210450672412,1980
20.0,0.4936864798275333,1980
21.0,0.4917359614002671,1980
22.0,0.4899907607021865,1980
23.0,0.4884508777332921,1980
24.0,0.486397700441433,1980
25.0,0.4841392054203881,1980
26.0,0.4825993224514937,1980
27.0,0.4811620983471917,1980
28.0,0.4800328508366694,1980
29.0,0.47869828559696087,1980
30.0,0.4772610614926597,1980
31.0,0.47602915511754457,1980
32.0,0.47500256647161493,1980
33.0,0.4740786366902778,1980
34.0,0.4733600246381276,1980
35.0,0.47294938917975515,1980
36.0,0.47171748280464,1980
37.0,0.47066244867311857,1980
38.0,0.47026074530298506,1980
39.0,0.46948627108476554,1980
40.0,0.46857358393257903,1980
41.0,0.46791331115108653,1980
42.0,0.46678648800562916,1980
43.0,0.4656662004344158,1980
